report_date,client_id,target,col1453,col1454,col1455,col1456,col1457,col1458,col1459,col1460,col1461,col1462,col1463,col1464,col1465,col1466,col1467,col1468,col1469,col1470,col1472,col1474,col1475,col1476,col1487,col1488,col1489,col1490,col1491,col1492,col1493,col1494,col1496,col1497,col1498,col1499,col1500,col1502,col1503,col1504,col1505,col1506,col1507,col1508,col1509,col1510,col1512,col1513,col1514,col1515,col1516,col1518,col1522,col1523,col1524,col2167,col2168,col2169,col2170,col2171,col2172,col2173,col2174,col2175,col2176,col2177,col2178,col2179,col2180,col2181,col2182,col2183,col2184,col2185,col2186,col2187,col2188,col2189,col2190,col2211,col2212,col2213,col2214,col2215,col2216,col2220,col2221,col2222,col2238,col2239,col2240,col2244,col2245,col2246,col2283,col2284,col2285,col2286,col2287,col2288,col2292,col2293,col2294,col2307,col2308,col2309,col2310,col2311,col2312,col2316,col2317,col2318,col2331,col2332,col2333,col2334,col2335,col2336,col2340,col2341,col2342,col2358,col2359,col2360,col2364,col2365,col2366,col2379,col2380,col2381,col2382,col2383,col2384,col2388,col2389,col2390,col2406,col2407,col2408,col2412,col2413,col2414,col2436,col2437,col2438,col2454,col2455,col2456,col2460,col2461,col2462,col2468,col2470,col2479,col2480,col2481,col2482,col2483,col2484,col2485,col2486,col2487,col2488,col2495,col2558,col2559,col2560,col2564,col2565,col2566,col2582,col2583,col2584,col2588,col2589,col2590,col2654,col2655,col2656,col2660,col2661,col2662,col2663
1,2,0,0,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8122844.44,10000.0,2583086.85,6564363.2,10000.0,2198121.06666667,6564363.2,10000.0,2198121.06666667,524527.9,524527.9,524527.9,524527.9,524527.9,524527.9,7.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,222278.0,209203.0,213040.0,192567.0,192567.0,192567.0,192567.0,192567.0,192567.0,8778135.43,8034431.2,8371037.36,5794341.03,5794341.03,5794341.03,5794341.03,5794341.03,5794341.03,1.0,1.0,1.0,1.0,1.0,1.0,38.08,36.62,37.1,30.09,30.09,30.09,30.09,30.09,30.09,14.17,14.17,14.17,14.17,14.17,14.17,8.99,8.99,8.99,1.7,1.7,1.7,1.7,1.7,1.7,299.0,299.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4981252.0,4981252.0,4981252.0,4981252.0,4981252.0,4981252.0,240.0,240.0,240.0,240.0,240.0,240.0,4941670.0,4941670.0,4941670.0,4941670.0,4941670.0,4941670.0,0.2569190620677391
2,4,0,0,18,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,13693099.02,300.0,2748679.804,13693099.02,300.0,2748679.804,13693099.02,300.0,2748679.804,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.333333333333333,4.0,2.0,3.333333333333333,4.0,2.0,3.333333333333333,225454.0,219829.0,221704.0,225454.0,219829.0,221704.0,225454.0,219829.0,221704.0,13981124.4,13953348.06,13971865.62,13981124.4,13953348.06,13971865.62,13981124.4,13953348.06,13971865.62,2.0,2.0,2.0,2.0,2.0,2.0,63.51,61.89,62.97,63.51,61.89,62.97,63.51,61.89,62.97,30.17,24.75,28.36333333333333,30.17,24.75,28.36333333333333,17.18,12.15,13.82666666666667,3.79,1.5,3.02666666666667,3.79,1.5,3.02666666666667,31.0,31.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11789500.0,11789500.0,11789500.0,11789500.0,11789500.0,11789500.0,360.0,360.0,360.0,360.0,360.0,360.0,11789500.0,11789500.0,11789500.0,11789500.0,11789500.0,11789500.0,0.2672212943213475
2,9,0,0,93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8122844.44,10000.0,2583086.85,12417006.76,20000.0,4162335.58666667,12417006.76,20000.0,4162335.58666667,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,21.0,21.0,21.0,21.0,21.0,21.0,222278.0,209203.0,213040.0,223152.0,223152.0,223152.0,223152.0,223152.0,223152.0,8778135.43,8034431.2,8371037.36,11139747.84,11139747.84,11139747.84,11139747.84,11139747.84,11139747.84,2.0,2.0,2.0,2.0,2.0,2.0,38.08,36.62,37.1,49.92,49.92,49.92,49.92,49.92,49.92,23.39,23.39,23.39,23.39,23.39,23.39,13.78,13.78,13.78,1.34,1.34,1.34,1.34,1.34,1.34,230.0,230.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7600000.0,7398649.0,7498504.0,6500000.0,6304134.5,6443607.5,348.0,348.0,348.0,348.0,348.0,348.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,0.2572174233749946
0,12,0,0,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8122844.44,10000.0,2583086.85,8670063.165,10000.0,2695697.7249999996,10785110.3,10000.0,3608370.1,0.0,0.0,0.0,9167343.74,9167343.74,9167343.74,7.0,6.0,7.0,8.0,7.0,8.0,5.0,5.0,5.0,222278.0,209203.0,213040.0,222168.0,206325.5,213014.5,287104.0,287104.0,287104.0,8778135.43,8034431.2,8371037.36,8721978.34,7707635.76,8243633.49,10795110.4,10795110.4,10795110.4,1.0,1.0,1.0,2.0,2.0,2.0,38.08,36.62,37.1,38.16,36.129999999999995,36.96,37.6,37.6,37.6,14.46,14.27,14.38,22.7,22.7,22.7,10.33,10.18,10.24,1.26,1.14,1.19,0.0,0.0,0.0,191.5,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7600000.0,7398649.0,7498504.0,6500000.0,6304134.5,6443607.5,360.0,360.0,360.0,300.0,300.0,300.0,7737230.5,7603419.5,7687750.0,6841532.0,6600000.0,6733329.5,0.2562613816564786
0,14,0,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8122844.44,10000.0,2583086.85,8670063.165,10000.0,2695697.7249999996,9649462.8,10000.0,3226487.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,8.0,7.0,8.0,14.0,14.0,14.0,222278.0,209203.0,213040.0,222168.0,206325.5,213014.5,263345.0,263345.0,263345.0,8778135.43,8034431.2,8371037.36,8721978.34,7707635.76,8243633.49,9756932.25,9756932.25,9756932.25,1.0,1.0,1.0,1.0,1.0,1.0,38.08,36.62,37.1,38.16,36.129999999999995,36.96,37.05,37.05,37.05,14.46,14.27,14.38,14.3,14.3,14.3,11.1,11.1,11.1,1.26,1.14,1.19,2.2,2.2,2.2,191.5,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7600000.0,7398649.0,7498504.0,10391000.0,10391000.0,10391000.0,360.0,360.0,360.0,362.0,362.0,362.0,7737230.5,7603419.5,7687750.0,10391000.0,10391000.0,10391000.0,0.2573476190144638
2,15,0,0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8122844.44,10000.0,2583086.85,8670063.165,10000.0,2695697.7249999996,9929930.05,10000.0,3322310.01666667,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,8.0,7.0,8.0,3.0,3.0,3.0,222278.0,209203.0,213040.0,222168.0,206325.5,213014.5,166488.0,166488.0,166488.0,8778135.43,8034431.2,8371037.36,8721978.34,7707635.76,8243633.49,9040298.4,9040298.4,9040298.4,1.0,1.0,1.0,2.0,2.0,2.0,38.08,36.62,37.1,38.16,36.129999999999995,36.96,54.3,54.3,54.3,14.46,14.27,14.38,14.3,14.12,14.18,10.33,10.18,10.24,1.26,1.14,1.19,2.1,2.1,2.1,191.5,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7600000.0,7398649.0,7498504.0,8436000.0,8436000.0,8436000.0,360.0,360.0,360.0,240.0,240.0,240.0,7737230.5,7603419.5,7687750.0,8436000.0,8436000.0,8436000.0,0.2567183659523679
2,29,0,0,203,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9165560.51,10000.0,2303890.1275,9165560.51,10000.0,2303890.1275,9165560.51,10000.0,2303890.1275,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,306847.0,299879.0,302201.66666667,306847.0,299879.0,302201.66666667,306847.0,299879.0,302201.66666667,8834435.34,8521141.19,8730003.95666667,8834435.34,8521141.19,8730003.95666667,8834435.34,8521141.19,8730003.95666667,1.0,1.0,1.0,1.0,1.0,1.0,29.46,27.77,28.89666666666667,29.46,27.77,28.89666666666667,29.46,27.77,28.89666666666667,16.82,14.02,15.88666666666667,16.82,14.02,15.88666666666667,5.01,5.0,5.00333333333333,1.87,1.38,1.54333333333333,1.87,1.38,1.54333333333333,159.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7600000.0,7398649.0,7498504.0,6500000.0,6304134.5,6443607.5,216.0,216.0,216.0,216.0,216.0,216.0,7106000.0,7106000.0,7106000.0,7106000.0,7106000.0,7106000.0,0.2660206002085261
2,56,0,0,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8122844.44,10000.0,2583086.85,8670063.165,10000.0,2695697.7249999996,4472049.15,27000.0,1516349.71666667,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,8.0,7.0,8.0,16.0,16.0,16.0,222278.0,209203.0,213040.0,222168.0,206325.5,213014.5,178603.0,178603.0,178603.0,8778135.43,8034431.2,8371037.36,8721978.34,7707635.76,8243633.49,4613315.49,4613315.49,4613315.49,1.0,1.0,1.0,1.0,1.0,1.0,38.08,36.62,37.1,38.16,36.129999999999995,36.96,25.83,25.83,25.83,14.46,14.27,14.38,14.3,14.12,14.18,10.33,10.18,10.24,1.26,1.14,1.19,0.0,0.0,0.0,191.5,807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7600000.0,7398649.0,7498504.0,6500000.0,6304134.5,6443607.5,360.0,360.0,360.0,300.0,300.0,300.0,7737230.5,7603419.5,7687750.0,6841532.0,6600000.0,6733329.5,0.263619190082173
2,58,0,0,445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8122844.44,10000.0,2583086.85,8670063.165,10000.0,2695697.7249999996,4780393.36,10500.0,2395446.68,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,222278.0,209203.0,213040.0,222168.0,206325.5,213014.5,161001.0,161001.0,161001.0,8778135.43,8034431.2,8371037.36,8721978.34,7707635.76,8243633.49,5116611.78,5116611.78,5116611.78,1.0,1.0,1.0,1.0,1.0,1.0,38.08,36.62,37.1,38.16,36.129999999999995,36.96,31.78,31.78,31.78,14.46,14.27,14.38,14.28,14.28,14.28,8.17,8.17,8.17,1.26,1.14,1.19,1.37,1.37,1.37,191.5,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7600000.0,7398649.0,7498504.0,6500000.0,6304134.5,6443607.5,360.0,360.0,360.0,300.0,300.0,300.0,7737230.5,7603419.5,7687750.0,6841532.0,6600000.0,6733329.5,0.2562613816564786
2,60,0,0,453,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7709260.55,10000.0,2583086.85,7709260.55,10000.0,2583086.85,7709260.55,10000.0,2583086.85,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,173924.0,173924.0,173924.0,173924.0,173924.0,173924.0,173924.0,173924.0,173924.0,6162127.32,6162127.32,6162127.32,6162127.32,6162127.32,6162127.32,6162127.32,6162127.32,6162127.32,1.0,1.0,1.0,1.0,1.0,1.0,35.43,35.43,35.43,35.43,35.43,35.43,35.43,35.43,35.43,13.95,13.95,13.95,13.95,13.95,13.95,10.12,10.12,10.12,1.33,1.33,1.33,1.33,1.33,1.33,151.0,151.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6376700.0,6376700.0,6376700.0,6376700.0,6376700.0,6376700.0,360.0,360.0,360.0,360.0,360.0,360.0,7014370.0,7014370.0,7014370.0,7014370.0,7014370.0,7014370.0,0.2644643498271329
